name,type
KIAA0913,down
LONRF2,up
MOBKL1B,down
PPP4C,up
PUS7L,down
SAC3D1,down
SLC11A1,up
SSH1,down
SUZ12,down
TLN1,up
TYROBP,down
ADAMTSL3,up
AIFM3,down
BTF3L4,down
C12orf48,down
C14orf119,down
CALCRL,up
CEP57,down
COPE,up
CXorf23,up
DUSP4,down
EP400,up
FOXN2,down
GBP4,down
HIC1,up
JAK2,down
JMJD1C,up
KIAA1109,down
KIAA1731,up
LAIR1,down
LARP4,down
LDB2,up
LMF2,up
LOC442459,down
LRRC58,down
MOCS3,up
MYO7B,up
NCOR2,up
NCRNA00182,up
NDUFA11,down
NKD1,up
NUMA1,up
PCDH18,up
PDE4D,down
PSMA7,up
RAB27B,down
REXO1,up
RNF13,down
RPAP3,down
RPF2,up
SAMD9L,down
SASH3,down
SF3B5,down
SGK2,up
SIVA1,down
SOS1,up
TCTE3,up
TIMM13,down
TNRC6A,up
USP33,down
YME1L1,down
ZCCHC10,down
ZNF521,up
ZNF524,down
ZNF720,up
ZNF767,up
ZRANB2,down
